"Date","Player","Country","Runs","NotOut","Minutes","BallsFaced","Fours","Sixes","StrikeRate","Innings","Participation","Opposition","Ground"
2019-11-01,"PBB Rajapaksa ","Sri Lanka",17,TRUE,NA,11,1,1,154.545454545455,1,"B","Australia","Melbourne"
2019-12-06,"Mohamed Azzam ","MDV",17,TRUE,NA,17,2,0,100,2,"B","Nepal","Kirtipur"
2020-03-08,"D Klein ","GER",17,TRUE,NA,10,2,0,170,1,"B","Spain","Almeria"
2020-12-08,"SN Thakur ","India",17,TRUE,NA,7,0,2,242.857142857143,2,"B","Australia","Sydney"
2021-02-11,"BC Fortuin ","South Africa",17,TRUE,13,9,3,0,188.888888888889,2,"B","Pakistan","Lahore"
2021-02-13,"H Klaasen ","South Africa",17,TRUE,19,9,3,0,188.888888888889,2,"B","Pakistan","Lahore"
2021-06-25,"J Albin ","BUL",17,TRUE,NA,15,2,0,113.333333333333,1,"B","Romania","Sofia"
2021-06-26,"S Gasteratos ","GRC",17,TRUE,NA,21,2,0,80.952380952381,2,"B","Bulgaria","Sofia"
2021-06-26,"A Manousis ","GRC",17,TRUE,NA,10,2,1,170,2,"B","Bulgaria","Sofia"
2021-07-24,"Razmal Shigiwal ","AUT",17,TRUE,NA,14,2,0,121.428571428571,2,"B","Belgium","Waterloo"
2021-08-03,"ADS Fletcher ","West Indies",17,TRUE,NA,12,1,2,141.666666666667,1,"B","Pakistan","Providence"
2021-08-08,"Sahir Naqash ","GER",17,TRUE,NA,9,1,1,188.888888888889,2,"B","Norway","Krefeld"
2021-08-21,"JA Fitzgerald ","GIBR",17,TRUE,NA,7,0,2,242.857142857143,2,"B","Malta","Albergaria"
2021-09-05,"Bilal Muhammad ","MLT",17,TRUE,NA,7,1,1,242.857142857143,1,"B","Hungary","Ilfov County"
2021-09-10,"CE McConchie ","New Zealand",17,TRUE,23,10,3,0,170,1,"B","Bangladesh","Mirpur"
2021-09-19,"MA Leask ","Scotland",17,TRUE,NA,5,0,2,340,1,"B","Zimbabwe","Edinburgh"
2021-10-05,"Ali Raza ","EST",17,TRUE,NA,9,1,1,188.888888888889,1,"B","Cyprus","Episkopi"
2021-10-06,"EF Beard ","IOM",17,TRUE,NA,10,1,1,170,2,"B","Estonia","Episkopi"
2021-10-07,"Kashif Daud ","United Arab Emirates",17,TRUE,NA,10,1,1,170,1,"B","Ireland","ICCA Dubai"
2021-10-19,"K Waiswa ","UGA",17,TRUE,53,32,1,0,53.125,2,"B","Swaziland","Kigali"
2021-10-22,"F Akankwasa ","UGA",17,TRUE,16,10,2,0,170,1,"B","Seychelles","Kigali"
2021-10-23,"S Adedeji ","NGA",17,TRUE,NA,25,0,1,68,2,"B","Sierra Leone","Lagos"
2021-11-07,"AL Kerai ","Sri LankaE",17,TRUE,39,20,0,1,85,2,"B","Cameroon","Rwanda"
2021-11-11,"Aaron Jones ","United States of America",17,TRUE,NA,20,1,0,85,2,"B","Argentina","North Sound"
2021-11-13,"Abdullah Jasat ","PAN",17,TRUE,NA,11,1,1,154.545454545455,1,"B","Bahamas","Coolidge"
2021-11-17,"RR Pant ","India",17,TRUE,38,17,2,0,100,2,"B","New Zealand","Jaipur"
2021-11-20,"SO Ngoche ","Kenya",17,TRUE,10,6,4,0,283.333333333333,1,"B","Nigeria","Kigali"
2022-06-11,"Zaker Taqawi ","SWE",17,TRUE,NA,20,1,0,85,2,"B","Austria","Krefeld"
2022-06-30,"Manpreet Singh ","SGP",17,TRUE,NA,12,0,1,141.666666666667,1,"B","Malaysia","Singapore"
2022-07-03,"Mohamed Azzam ","MDV",17,TRUE,NA,27,1,0,62.962962962963,2,"B","Thailand","Bangi"
2022-07-09,"Ahmed Hassan ","MDV",17,TRUE,NA,19,1,0,89.4736842105263,2,"B","Malaysia","Bangi"
2022-07-13,"Manpreet Singh ","ITA",17,TRUE,NA,16,1,0,106.25,2,"B","Finland","Kerava"
2022-07-27,"MRJ Watt ","Scotland",17,TRUE,NA,12,3,0,141.666666666667,2,"B","New Zealand","Edinburgh"
2022-07-30,"F Damiao Couana ","MOZ",17,TRUE,NA,16,2,0,106.25,2,"B","Eswatini","Malkerns"
2022-07-31,"JJ Huo ","MOZ",17,TRUE,NA,4,1,2,425,1,"B","Eswatini","Malkerns"
2022-09-20,"Riazat Ali Shah ","UGA",17,TRUE,NA,10,3,0,170,2,"B","Ghana","Benoni"
2022-10-02,"KD Karthik ","India",17,TRUE,8,7,1,2,242.857142857143,1,"B","South Africa","Guwahati"
2022-10-14,"BA Stokes ","England",17,TRUE,21,10,0,1,170,1,"B","Australia","Canberra"
2022-10-15,"R Sakurano-Thomas ","Japan",17,TRUE,NA,7,2,0,242.857142857143,1,"B","South Korea","Sano"
2022-10-19,"MA Leask ","Scotland",17,TRUE,19,13,2,0,130.769230769231,1,"B","Ireland","Hobart"
2022-11-20,"N Dutta ","Canada",17,TRUE,NA,13,1,1,130.769230769231,2,"B","Oman","Al Amerat"
2022-11-21,"SO Ngoche ","Kenya",17,TRUE,NA,4,1,2,425,1,"B","Lesotho","Kigali"
