Team 1,Team 2,Winner,Margin,Ground,Match Date,ID
Bahamas,Bermuda,Bermuda,10 wickets,George Town,23-Apr-25,3154
Cayman,Canada,Canada,94 runs,George Town,23-Apr-25,3153
Bermuda,U.S.A.,U.S.A.,10 wickets,George Town,21-Apr-25,3152
Bahamas,Canada,Canada,10 wickets,George Town,21-Apr-25,3151
Cayman,Bermuda,Bermuda,30 runs,George Town,20-Apr-25,3150
Bahamas,U.S.A.,U.S.A.,149 runs,George Town,20-Apr-25,3148
Costa Rica,T & C Island,Costa Rica,21 runs,Panama City,20-Apr-25,3149
Panama,Mexico,Panama,6 runs,Panama City,19-Apr-25,3147
Bermuda,Canada,Canada,5 wickets,George Town,19-Apr-25,3146
Cayman,U.S.A.,U.S.A.,79 runs,George Town,19-Apr-25,3144
Costa Rica,T & C Island,T & C Island,10 wickets,Panama City,19-Apr-25,3145
Mexico,T & C Island,Mexico,8 wickets,Panama City,18-Apr-25,3143
Panama,Costa Rica,Panama,9 wickets,Panama City,18-Apr-25,3142
Panama,T & C Island,Panama,49 runs,Panama City,17-Apr-25,3141
Costa Rica,Mexico,Mexico,124 runs,Panama City,17-Apr-25,3140
Kuwait,Nepal,Kuwait,3 runs,Mong Kok,13-Apr-25,3139
Hong Kong,Qatar,Hong Kong,1 run,Mong Kok,13-Apr-25,3138
Hong Kong,Nepal,no result,-,Mong Kok,12-Apr-25,3137
Kuwait,Qatar,Kuwait,6 wickets,Mong Kok,12-Apr-25,3136
Hong Kong,Qatar,Hong Kong,68 runs,Mong Kok,10-Apr-25,3135
Kuwait,Nepal,Nepal,6 wickets,Mong Kok,10-Apr-25,3134
Portugal,Norway,Portugal,54 runs,Albergaria,9-Apr-25,3133
Hong Kong,Kuwait,Kuwait,4 wickets,Mong Kok,9-Apr-25,3132
Nepal,Qatar,Nepal,8 wickets,Mong Kok,9-Apr-25,3131
Portugal,Norway,Portugal,4 wickets,Albergaria,8-Apr-25,3130
Portugal,Norway,Norway,39 runs,Albergaria,7-Apr-25,3129
New Zealand,Pakistan,New Zealand,8 wickets,Wellington,26-Mar-25,3128
Namibia,Canada,Namibia,8 wickets,Windhoek,23-Mar-25,3127
New Zealand,Pakistan,New Zealand,115 runs,Mount Maunganui,23-Mar-25,3126
Namibia,Canada,Namibia,10 wickets,Windhoek,22-Mar-25,3125
New Zealand,Pakistan,Pakistan,9 wickets,Auckland,21-Mar-25,3124
Namibia,Canada,Namibia,3 wickets,Windhoek,19-Mar-25,3123
New Zealand,Pakistan,New Zealand,5 wickets,Dunedin,18-Mar-25,3122
Bahrain,Hong Kong,Bahrain,8 wickets,Kuala Lumpur,17-Mar-25,3121
New Zealand,Pakistan,New Zealand,9 wickets,Christchurch,16-Mar-25,3120
Malaysia,Hong Kong,Hong Kong,8 wickets,Kuala Lumpur,15-Mar-25,3119
Bahrain,Hong Kong,tied,-,Kuala Lumpur,14-Mar-25,3118
Costa Rica,Falkland Isl,Costa Rica,47 runs,Guacima,13-Mar-25,3117
Malaysia,Bahrain,Bahrain,35 runs,Kuala Lumpur,13-Mar-25,3116
Costa Rica,Falkland Isl,Costa Rica,9 wickets,Guacima,12-Mar-25,3115
Costa Rica,Falkland Isl,Falkland Isl,29 runs,Guacima,12-Mar-25,3114
Malaysia,Hong Kong,Hong Kong,42 runs,Kuala Lumpur,12-Mar-25,3113
Costa Rica,Falkland Isl,Costa Rica,92 runs,Guacima,11-Mar-25,3112
Costa Rica,Falkland Isl,Costa Rica,62 runs,Guacima,11-Mar-25,3111
Bahrain,Hong Kong,Bahrain,8 wickets,Kuala Lumpur,11-Mar-25,3110
Costa Rica,Falkland Isl,Costa Rica,66 runs,Guacima,10-Mar-25,3109
Malaysia,Bahrain,Bahrain,6 wickets,Kuala Lumpur,10-Mar-25,3108
Singapore,Bahrain,no result,-,singapore,4-Mar-25,3107
Singapore,Bahrain,Bahrain,8 wickets,singapore,2-Mar-25,3106
Singapore,Bahrain,Bahrain,7 wickets,singapore,1-Mar-25,3105
Singapore,Bahrain,Bahrain,31 runs,singapore,28-Feb-25,3104
Zimbabwe,Ireland,no result,-,Harare,25-Feb-25,3103
Indonesia,Bahrain,Bahrain,5 wickets,Bali,24-Feb-25,3102
Zimbabwe,Ireland,Zimbabwe,3 wickets,Harare,23-Feb-25,3101
Oman,U.S.A.,U.S.A.,8 wickets,Al Amerat,23-Feb-25,3100
Indonesia,Bahrain,Bahrain,112 runs,Bali,23-Feb-25,3099
Zimbabwe,Ireland,no result,-,Harare,22-Feb-25,3098
Indonesia,Bahrain,Indonesia,8 wickets,Bali,22-Feb-25,3097
Oman,U.S.A.,U.S.A.,4 wickets,Al Amerat,21-Feb-25,3096
Oman,U.S.A.,U.S.A.,7 wickets,Al Amerat,20-Feb-25,3095
Indonesia,Bahrain,Bahrain,10 wickets,Bali,20-Feb-25,3094
Indonesia,Bahrain,Bahrain,63 runs,Bali,19-Feb-25,3093
Austria,Hungary,Hungary,2 wickets,Marsa,5-Feb-25,3092
Malta,Austria,Austria,6 wickets,Marsa,5-Feb-25,3091
Malta,Hungary,Hungary,8 wickets,Marsa,4-Feb-25,3090
Austria,Hungary,Austria,6 wickets,Marsa,4-Feb-25,3089
Malta,Austria,Austria,6 wickets,Marsa,3-Feb-25,3088
Malta,Hungary,Hungary,8 runs,Marsa,3-Feb-25,3087
India,England,India,150 runs,Wankhede,2-Feb-25,3086
India,England,India,15 runs,Pune,31-Jan-25,3085
India,England,England,26 runs,Rajkot,28-Jan-25,3084
India,England,India,2 wickets,Chennai,25-Jan-25,3083
India,England,India,7 wickets,Eden Gardens,22-Jan-25,3082
New Zealand,Sri Lanka,Sri Lanka,7 runs,Nelson,2-Jan-25,3081
New Zealand,Sri Lanka,New Zealand,45 runs,Mount Maunganui,30-Dec-24,3080
New Zealand,Sri Lanka,New Zealand,8 runs,Mount Maunganui,28-Dec-24,3079
U.A.E.,Kuwait,U.A.E.,2 runs,Dubai (DICS),21-Dec-24,3078
Kuwait,Oman,Kuwait,3 wickets,ICCA Dubai,20-Dec-24,3077
Bahrain,Qatar,Qatar,6 wickets,ICCA Dubai,20-Dec-24,3076
West Indies,Bangladesh,Bangladesh,80 runs,Kingstown,19-Dec-24,3075
U.A.E.,Saudi Arabia,Saudi Arabia,11 runs,ICCA Dubai,19-Dec-24,3074
U.A.E.,Qatar,U.A.E.,23 runs,ICCA Dubai,18-Dec-24,3073
Oman,Saudi Arabia,Saudi Arabia,8 wickets,ICCA Dubai,18-Dec-24,3072
West Indies,Bangladesh,Bangladesh,27 runs,Kingstown,17-Dec-24,3071
Bahrain,Oman,Oman,2 runs,ICCA Dubai,17-Dec-24,3070
Kuwait,Qatar,Kuwait,6 wickets,ICCA Dubai,17-Dec-24,3069
Belize,Suriname,Suriname,4 wickets,Buenos Aires,16-Dec-24,3068
Argentina,Brazil,Argentina,11 runs,Buenos Aires,16-Dec-24,3067
Bermuda,Cayman,Bermuda,13 runs,Buenos Aires,16-Dec-24,3066
Bahamas,Mexico,Bahamas,24 runs,Buenos Aires,16-Dec-24,3065
U.A.E.,Kuwait,U.A.E.,11 runs,ICCA Dubai,16-Dec-24,3064
Bahrain,Saudi Arabia,Bahrain,8 wickets,ICCA Dubai,16-Dec-24,3063
West Indies,Bangladesh,Bangladesh,7 runs,Kingstown,15-Dec-24,3062
Bahamas,Bermuda,Bermuda,62 runs,Buenos Aires,15-Dec-24,3061
Mexico,Panama,Panama,48 runs,Buenos Aires,15-Dec-24,3060
Belize,Brazil,Belize,6 wickets,Buenos Aires,15-Dec-24,3059
Argentina,Cayman,Cayman,22 runs,Buenos Aires,15-Dec-24,3058
Qatar,Saudi Arabia,Saudi Arabia,9 wickets,ICCA Dubai,15-Dec-24,3057
U.A.E.,Oman,U.A.E.,24 runs,ICCA Dubai,15-Dec-24,3056
Belize,Panama,Belize,7 wickets,Buenos Aires,14-Dec-24,3055
Argentina,Mexico,Argentina,23 runs,Buenos Aires,14-Dec-24,3054
Brazil,Cayman,Cayman,159 runs,Buenos Aires,14-Dec-24,3053
Bahamas,Suriname,Bahamas,26 runs,Buenos Aires,14-Dec-24,3052
Nigeria,Uganda,Uganda,6 wickets,Rwanda,14-Dec-24,3051
Zimbabwe,Afghanistan,Afghanistan,3 wickets,Harare,14-Dec-24,3050
Oman,Qatar,Oman,35 runs,ICCA Dubai,14-Dec-24,3049
Bahrain,Kuwait,Bahrain,4 runs,ICCA Dubai,14-Dec-24,3048
South Africa,Pakistan,South Africa,7 wickets,Centurion,13-Dec-24,3047
Botswana,Uganda,Uganda,32 runs,Rwanda,13-Dec-24,3046
Zimbabwe,Afghanistan,Afghanistan,50 runs,Harare,13-Dec-24,3045
Kuwait,Saudi Arabia,Kuwait,6 wickets,ICCA Dubai,13-Dec-24,3044
Rwanda,Nigeria,Nigeria,37 runs,Rwanda,13-Dec-24,3043
U.A.E.,Bahrain,U.A.E.,8 wickets,ICCA Dubai,13-Dec-24,3042
Bahamas,Cayman,Cayman,10 wickets,Buenos Aires,12-Dec-24,3041
Belize,Bermuda,Bermuda,71 runs,Buenos Aires,12-Dec-24,3040
Brazil,Panama,Brazil,6 wickets,Buenos Aires,12-Dec-24,3039
Mexico,Suriname,Mexico,8 wickets,Buenos Aires,12-Dec-24,3038
Botswana,Nigeria,Nigeria,10 wickets,Rwanda,12-Dec-24,3037
Rwanda,Uganda,Uganda,50 runs,Rwanda,12-Dec-24,3036
Bermuda,Brazil,Bermuda,87 runs,Buenos Aires,11-Dec-24,3035
Argentina,Suriname,Argentina,6 wickets,Buenos Aires,11-Dec-24,3034
Cayman,Mexico,Cayman,7 wickets,Buenos Aires,11-Dec-24,3033
Bahamas,Panama,Bahamas,21 runs,Buenos Aires,11-Dec-24,3032
Nigeria,Uganda,Uganda,23 runs,Rwanda,11-Dec-24,3031
Zimbabwe,Afghanistan,Zimbabwe,4 wickets,Harare,11-Dec-24,3030
Rwanda,Botswana,Rwanda,25 runs,Rwanda,11-Dec-24,3029
Bermuda,Mexico,Bermuda,6 wickets,Buenos Aires,10-Dec-24,3028
Argentina,Panama,Argentina,6 wickets,Buenos Aires,10-Dec-24,3027
South Africa,Pakistan,South Africa,11 runs,Durban,10-Dec-24,3026
Cayman,Suriname,Suriname,6 wickets,Buenos Aires,10-Dec-24,3025
Bahamas,Belize,Bahamas,3 runs,Buenos Aires,10-Dec-24,3024
Rwanda,Nigeria,Rwanda,6 wickets,Rwanda,9-Dec-24,3023
Botswana,Uganda,Uganda,108 runs,Rwanda,9-Dec-24,3022
Brazil,Suriname,Brazil,6 wickets,Buenos Aires,8-Dec-24,3021
Belize,Cayman,Cayman,44 runs,Buenos Aires,8-Dec-24,3020
Bermuda,Panama,Bermuda,9 wickets,Buenos Aires,8-Dec-24,3019
Argentina,Bahamas,Bahamas,18 runs,Buenos Aires,8-Dec-24,3018
Rwanda,Botswana,Botswana,6 wickets,Rwanda,8-Dec-24,3017
Nigeria,Uganda,Uganda,7 wickets,Rwanda,8-Dec-24,3016
Bermuda,Suriname,Bermuda,92 runs,Buenos Aires,7-Dec-24,3015
Cayman,Panama,Cayman,83 runs,Buenos Aires,7-Dec-24,3014
Brazil,Mexico,Mexico,47 runs,Buenos Aires,7-Dec-24,3013
Argentina,Belize,Argentina,5 runs,Buenos Aires,7-Dec-24,3012
Botswana,Nigeria,Botswana,3 wickets,Rwanda,7-Dec-24,3011
Rwanda,Uganda,Uganda,86 runs,Rwanda,7-Dec-24,3010
Bahamas,Brazil,Bahamas,26 runs,Buenos Aires,6-Dec-24,3009
Belize,Mexico,Belize,5 wickets,Buenos Aires,6-Dec-24,3008
Panama,Suriname,Panama,10 runs,Buenos Aires,6-Dec-24,3007
Nigeria,Uganda,Uganda,5 wickets,Rwanda,6-Dec-24,3006
Rwanda,Botswana,Rwanda,10 wickets,Rwanda,6-Dec-24,3005
Rwanda,Uganda,Uganda,112 runs,Rwanda,5-Dec-24,3004
Zimbabwe,Pakistan,Zimbabwe,2 wickets,Bulawayo,5-Dec-24,3003
Botswana,Nigeria,Nigeria,29 runs,Rwanda,5-Dec-24,3002
Rwanda,Nigeria,Nigeria,6 wickets,Rwanda,4-Dec-24,3001
Botswana,Uganda,Uganda,78 runs,Rwanda,4-Dec-24,3000
Zimbabwe,Pakistan,Pakistan,10 wickets,Bulawayo,3-Dec-24,2999
Argentina,Bermuda,Bermuda,42 runs,Buenos Aires,2-Dec-24,2998
Zimbabwe,Pakistan,Pakistan,57 runs,Bulawayo,1-Dec-24,2997
Eswatini,Sierra Leone,Sierra Leone,109 runs,Abuja,28-Nov-24,2996
Nigeria,Botswana,Nigeria,77 runs,Abuja,28-Nov-24,2995
Bahrain,U.A.E.,U.A.E.,8 wickets,Doha,28-Nov-24,2994
Ivory Coast,St Helena,St Helena,10 wickets,Abuja,28-Nov-24,2993
Bhutan,Cambodia,Cambodia,5 wickets,Doha,28-Nov-24,2992
Qatar,Saudi Arabia,Qatar,6 wickets,Doha,28-Nov-24,2991
Botswana,St Helena,Botswana,9 wickets,Abuja,27-Nov-24,2990
Eswatini,Ivory Coast,Eswatini,8 wickets,Abuja,27-Nov-24,2989
Nigeria,Sierra Leone,Nigeria,29 runs,Abuja,27-Nov-24,2988
Nigeria,Eswatini,Nigeria,5 wickets,Abuja,26-Nov-24,2987
Botswana,Ivory Coast,Botswana,10 wickets,Abuja,26-Nov-24,2986
Qatar,U.A.E.,U.A.E.,29 runs,Doha,26-Nov-24,2985
Sierra Leone,St Helena,Sierra Leone,4 wickets,Abuja,26-Nov-24,2984
Saudi Arabia,Thailand,Saudi Arabia,5 wickets,Doha,26-Nov-24,2983
Bahrain,Cambodia,Bahrain,49 runs,Doha,26-Nov-24,2982
Bhutan,Thailand,Thailand,7 runs,Doha,25-Nov-24,2981
Qatar,Bahrain,Qatar,15 runs,Doha,25-Nov-24,2980
Cambodia,Saudi Arabia,Saudi Arabia,5 wickets,Doha,25-Nov-24,2979
Nigeria,Ivory Coast,Nigeria,264 runs,Abuja,24-Nov-24,2978
Eswatini,St Helena,Eswatini,48 runs,Abuja,24-Nov-24,2977
Botswana,Sierra Leone,Botswana,5 wickets,Abuja,24-Nov-24,2976
Ivory Coast,Sierra Leone,Sierra Leone,168 runs,Abuja,23-Nov-24,2975
Nigeria,St Helena,Nigeria,118 runs,Abuja,23-Nov-24,2974
Qatar,Cambodia,Qatar,48 runs,Doha,23-Nov-24,2973
Botswana,Eswatini,Botswana,48 runs,Abuja,23-Nov-24,2972
Bahrain,Bhutan,Bahrain,90 runs,Doha,23-Nov-24,2971
Thailand,U.A.E.,U.A.E.,155 runs,Doha,23-Nov-24,2970
Bhutan,Saudi Arabia,Saudi Arabia,85 runs,Doha,22-Nov-24,2969
Cambodia,U.A.E.,U.A.E.,5 wickets,Doha,22-Nov-24,2968
Bahrain,Thailand,Thailand,2 wickets,Doha,22-Nov-24,2967
Saudi Arabia,U.A.E.,U.A.E.,17 runs,Doha,20-Nov-24,2966
Cambodia,Thailand,Thailand,16 runs,Doha,20-Nov-24,2965
Qatar,Bhutan,Qatar,6 wickets,Doha,20-Nov-24,2964
Bahrain,Saudi Arabia,Bahrain,3 runs,Doha,19-Nov-24,2963
Qatar,Thailand,Qatar,5 wickets,Doha,19-Nov-24,2962
Bhutan,U.A.E.,U.A.E.,63 runs,Doha,19-Nov-24,2961
Indonesia,Myanmar,Indonesia,4 wickets,Bali,19-Nov-24,2960
Australia,Pakistan,Australia,7 wickets,Hobart,18-Nov-24,2959
West Indies,England,no result,-,Gros Islet,17-Nov-24,2958
Indonesia,Myanmar,Indonesia,114 runs,Bali,17-Nov-24,2957
West Indies,England,West Indies,5 wickets,Gros Islet,16-Nov-24,2956
Oman,Netherlands,Netherlands,29 runs,Al Amerat,16-Nov-24,2955
Australia,Pakistan,Australia,13 runs,Sydney,16-Nov-24,2954
Indonesia,Myanmar,Indonesia,4 wickets,Bali,16-Nov-24,2953
South Africa,India,India,135 runs,Johannesburg,15-Nov-24,2952
Indonesia,Myanmar,Indonesia,5 wickets,Bali,15-Nov-24,2951
West Indies,England,England,3 wickets,Gros Islet,14-Nov-24,2950
Oman,Netherlands,Netherlands,50 runs,Al Amerat,14-Nov-24,2949
Australia,Pakistan,Australia,29 runs,Brisbane,14-Nov-24,2948
South Africa,India,India,11 runs,Centurion,13-Nov-24,2947
Oman,Netherlands,Oman,3 wickets,Al Amerat,13-Nov-24,2946
Indonesia,Myanmar,Indonesia,9 wickets,Bali,13-Nov-24,2945
Indonesia,Myanmar,Indonesia,136 runs,Bali,12-Nov-24,2944
West Indies,England,England,7 wickets,Bridgetown,10-Nov-24,2943
South Africa,India,South Africa,3 wickets,Gqeberha,10-Nov-24,2942
Sri Lanka,New Zealand,New Zealand,5 runs,Dambulla,10-Nov-24,2941
West Indies,England,England,8 wickets,Bridgetown,9-Nov-24,2940
Sri Lanka,New Zealand,Sri Lanka,4 wickets,Dambulla,9-Nov-24,2939
South Africa,India,India,61 runs,Durban,8-Nov-24,2938
Uganda,Bahrain,Uganda,8 wickets,Jinja,29-Oct-24,2937
Uganda,Bahrain,Bahrain,17 runs,Jinja,28-Oct-24,2936
Kenya,Zimbabwe,Zimbabwe,61 runs,Nairobi (Gym),24-Oct-24,2935
Gambia,Mozambique,Mozambique,6 wickets,Nairobi (Ruaraka),24-Oct-24,2934
Rwanda,Seychelles,Rwanda,73 runs,Nairobi (Ruaraka),24-Oct-24,2933
Bhutan,Indonesia,Bhutan,1 wicket,Gelephu,24-Oct-24,2932
Mozambique,Rwanda,Mozambique,7 wickets,Nairobi (Gym),23-Oct-24,2931
Gambia,Zimbabwe,Zimbabwe,290 runs,Nairobi (Ruaraka),23-Oct-24,2930
Bhutan,Maldives,Maldives,7 wickets,Gelephu,23-Oct-24,2929
Kenya,Seychelles,Kenya,9 wickets,Nairobi (Ruaraka),23-Oct-24,2928
Indonesia,Thailand,Thailand,66 runs,Gelephu,23-Oct-24,2927
Kenya,Gambia,Kenya,129 runs,Nairobi (Gym),22-Oct-24,2926
Rwanda,Zimbabwe,Zimbabwe,149 runs,Nairobi (Ruaraka),22-Oct-24,2925
Bhutan,Indonesia,Bhutan,56 runs,Gelephu,22-Oct-24,2924
Mozambique,Seychelles,Mozambique,60 runs,Nairobi (Gym),22-Oct-24,2923
Maldives,Thailand,Thailand,44 runs,Gelephu,22-Oct-24,2922
U.S.A.,Nepal,Nepal,8 wickets,Dallas,20-Oct-24,2921
Kenya,Rwanda,Kenya,5 wickets,Nairobi (Gym),20-Oct-24,2920
Indonesia,Thailand,Thailand,6 wickets,Gelephu,20-Oct-24,2919
Mozambique,Zimbabwe,Zimbabwe,9 wickets,Nairobi (Gym),20-Oct-24,2918
Bhutan,Maldives,Bhutan,4 wickets,Gelephu,20-Oct-24,2917
U.S.A.,Nepal,tied,-,Dallas,19-Oct-24,2916
Seychelles,Zimbabwe,Zimbabwe,76 runs,Nairobi (Gym),19-Oct-24,2915
Kenya,Mozambique,Kenya,111 runs,Nairobi (Ruaraka),19-Oct-24,2914
Indonesia,Maldives,Maldives,23 runs,Gelephu,19-Oct-24,2913
Bhutan,Thailand,Thailand,77 runs,Gelephu,19-Oct-24,2912
Kenya,Seychelles,Kenya,91 runs,Nairobi,18-Oct-24,2911
U.S.A.,Nepal,Nepal,17 runs,Dallas,17-Oct-24,2910
Sri Lanka,West Indies,Sri Lanka,9 wickets,Dambulla,17-Oct-24,2909
Sri Lanka,West Indies,Sri Lanka,73 runs,Dambulla,15-Oct-24,2908
Sri Lanka,West Indies,West Indies,5 wickets,Dambulla,13-Oct-24,2907
Argentina,Mexico,Argentina,8 wickets,Seropedica,13-Oct-24,2906
Malawi,Rwanda,Rwanda,6 wickets,Blantyre,13-Oct-24,2905
India,Bangladesh,India,133 runs,Hyderabad,12-Oct-24,2904
Brazil,Mexico,Brazil,7 runs,Seropedica,12-Oct-24,2903
Malawi,Rwanda,Malawi,6 wickets,Blantyre,12-Oct-24,2902
Malawi,Rwanda,Malawi,5 runs,Blantyre,12-Oct-24,2901
Malawi,Rwanda,Rwanda,9 wickets,Blantyre,10-Oct-24,2900
India,Bangladesh,India,86 runs,Delhi,9-Oct-24,2899
Malawi,Rwanda,Rwanda,8 wickets,Blantyre,9-Oct-24,2898
India,Bangladesh,India,7 wickets,Gwalior,6-Oct-24,2897
Namibia,U.S.A.,U.S.A.,6 wickets,Windhoek,5-Oct-24,2896
Indonesia,Japan,Japan,144 runs,Incheon,5-Oct-24,2895
South Korea,Philippines,Philippines,101 runs,Incheon,5-Oct-24,2894
U.A.E.,U.S.A.,U.A.E.,6 runs,Windhoek,4-Oct-24,2893
South Korea,Japan,Japan,108 runs,Incheon,4-Oct-24,2892
Indonesia,Philippines,Indonesia,3 runs,Incheon,4-Oct-24,2891
Canada,Oman,Canada,5 wickets,King City (NW),3-Oct-24,2890
Nepal,Oman,Nepal,56 runs,King City (NW),2-Oct-24,2889
Namibia,U.A.E.,U.A.E.,6 wickets,Windhoek,2-Oct-24,2888
South Korea,Indonesia,Indonesia,27 runs,Incheon,2-Oct-24,2887
Japan,Philippines,Japan,27 runs,Incheon,2-Oct-24,2886
Canada,Nepal,Canada,4 wickets,King City (NW),1-Oct-24,2885
Namibia,U.S.A.,U.S.A.,13 runs,Windhoek,1-Oct-24,2884
South Korea,Philippines,Philippines,37 runs,Incheon,1-Oct-24,2883
Indonesia,Japan,Japan,53 runs,Incheon,1-Oct-24,2882
Canada,Oman,Oman,8 wickets,King City (NW),30-Sep-24,2881
Gibraltar,Serbia,Gibraltar,8 wickets,Gibraltar,30-Sep-24,2880
U.A.E.,U.S.A.,U.S.A.,15 runs,Windhoek,30-Sep-24,2879
Gibraltar,Serbia,Gibraltar,7 wickets,Gibraltar,30-Sep-24,2878
Nepal,Oman,Nepal,37 runs,King City (NW),29-Sep-24,2877
Ireland,South Africa,Ireland,10 runs,Abu Dhabi,29-Sep-24,2876
Namibia,U.A.E.,U.A.E.,40 runs,Windhoek,29-Sep-24,2875
South Korea,Japan,Japan,7 wickets,Incheon,29-Sep-24,2874
Indonesia,Philippines,Philippines,42 runs,Incheon,29-Sep-24,2873
Canada,Nepal,Canada,14 runs,King City (NW),28-Sep-24,2872
South Korea,Indonesia,Indonesia,2 wickets,Incheon,28-Sep-24,2871
Japan,Philippines,Japan,2 wickets,Incheon,28-Sep-24,2870
Ireland,South Africa,South Africa,8 wickets,Abu Dhabi,27-Sep-24,2869
Tanzania,Malawi,Tanzania,19 runs,Dar-es-Salaam,26-Sep-24,2868
Ghana,Mali,Ghana,10 wickets,Dar-es-Salaam,26-Sep-24,2867
Cameroon,Lesotho,Cameroon,9 wickets,Dar-es-Salaam,26-Sep-24,2866
Japan,Philippines,Japan,47 runs,Incheon,26-Sep-24,2865
Lesotho,Mali,Lesotho,112 runs,Dar-es-Salaam,25-Sep-24,2864
Cameroon,Malawi,Malawi,9 wickets,Dar-es-Salaam,25-Sep-24,2863
Tanzania,Ghana,Tanzania,7 wickets,Dar-es-Salaam,25-Sep-24,2862
Indonesia,Japan,Japan,4 runs,Incheon,25-Sep-24,2861
Tanzania,Cameroon,Tanzania,9 wickets,Dar-es-Salaam,24-Sep-24,2860
Malawi,Mali,Malawi,9 wickets,Dar-es-Salaam,24-Sep-24,2859
Ghana,Lesotho,Ghana,50 runs,Dar-es-Salaam,24-Sep-24,2858
Tanzania,Lesotho,Tanzania,122 runs,Dar-es-Salaam,22-Sep-24,2857
Cameroon,Mali,Cameroon,6 wickets,Dar-es-Salaam,22-Sep-24,2856
Ghana,Malawi,Malawi,25 runs,Dar-es-Salaam,22-Sep-24,2855
Cameroon,Ghana,Ghana,8 wickets,Dar-es-Salaam,21-Sep-24,2854
Tanzania,Mali,Tanzania,10 wickets,Dar-es-Salaam,21-Sep-24,2853
Lesotho,Malawi,Malawi,93 runs,Dar-es-Salaam,21-Sep-24,2852
England,Australia,England,3 wickets,Cardiff,13-Sep-24,2851
England,Australia,Australia,28 runs,Southampton,11-Sep-24,2850
Hong Kong,Kuwait,no result,-,Bangi,9-Sep-24,2849
Myanmar,Singapore,Singapore,8 wickets,Kuala Lumpur,9-Sep-24,2848
Malaysia,Mongolia,Malaysia,10 wickets,Bangi,9-Sep-24,2847
Scotland,Australia,Australia,6 wickets,Edinburgh,7-Sep-24,2846
Malaysia,Hong Kong,Malaysia,3 runs,Kuala Lumpur,7-Sep-24,2845
Scotland,Australia,Australia,70 runs,Edinburgh,6-Sep-24,2844
Maldives,Mongolia,Maldives,117 runs,Kuala Lumpur,6-Sep-24,2843
Kuwait,Singapore,Singapore,5 wickets,Bangi,6-Sep-24,2842
Maldives,Myanmar,Maldives,9 wickets,Kuala Lumpur,5-Sep-24,2841
Malaysia,Kuwait,Kuwait,8 wickets,Kuala Lumpur,5-Sep-24,2840
Mongolia,Singapore,Singapore,9 wickets,Bangi,5-Sep-24,2839
Scotland,Australia,Australia,7 wickets,Edinburgh,4-Sep-24,2838
Kuwait,Myanmar,Kuwait,8 wickets,Kuala Lumpur,3-Sep-24,2837
Malaysia,Singapore,Malaysia,1 run,Bangi,3-Sep-24,2836
Hong Kong,Maldives,Hong Kong,9 wickets,Bangi,3-Sep-24,2835
Mongolia,Myanmar,Myanmar,71 runs,Bangi,2-Sep-24,2834
Hong Kong,Singapore,Hong Kong,23 runs,Kuala Lumpur,2-Sep-24,2833
Kuwait,Maldives,Kuwait,142 runs,Bangi,2-Sep-24,2832
Hong Kong,Mongolia,Hong Kong,9 wickets,Kuala Lumpur,31-Aug-24,2831
Maldives,Singapore,Singapore,47 runs,Kuala Lumpur,31-Aug-24,2830
Malaysia,Myanmar,Malaysia,6 wickets,Bangi,31-Aug-24,2829
Kuwait,Mongolia,Kuwait,160 runs,Kuala Lumpur,30-Aug-24,2828
Malaysia,Maldives,Malaysia,94 runs,Kuala Lumpur,30-Aug-24,2827
Hong Kong,Myanmar,Hong Kong,9 wickets,Bangi,30-Aug-24,2826
Czech Rep.,Estonia,Estonia,7 wickets,Port Soif,28-Aug-24,2825
Guernsey,Denmark,Guernsey,6 wickets,Castel,28-Aug-24,2824
Netherlands,U.S.A.,Netherlands,4 runs,The Hague,28-Aug-24,2823
Cyprus,Malta,Cyprus,6 runs,Port Soif,28-Aug-24,2822
Finland,Spain,Spain,46 runs,Castel,28-Aug-24,2821
West Indies,South Africa,West Indies,8 wickets,Tarouba,27-Aug-24,2820
Czech Rep.,Greece,Czech Rep.,75 runs,Castel,27-Aug-24,2819
Estonia,Malta,Estonia,5 wickets,Port Soif,27-Aug-24,2818
Canada,U.S.A.,U.S.A.,20 runs,The Hague,27-Aug-24,2817
Cyprus,Denmark,Denmark,142 runs,Castel,27-Aug-24,2816
Bulgaria,Finland,Finland,125 runs,Port Soif,27-Aug-24,2815
Hong Kong,Kuwait,Kuwait,8 wickets,Kuala Lumpur,27-Aug-24,2814
Netherlands,Canada,Canada,8 runs,Utrecht,26-Aug-24,2813
Malaysia,Hong Kong,Hong Kong,7 runs,Kuala Lumpur,26-Aug-24,2812
West Indies,South Africa,West Indies,30 runs,Tarouba,25-Aug-24,2811
Guernsey,Estonia,Guernsey,5 wickets,Castel,25-Aug-24,2810
Greece,Spain,Spain,7 wickets,Port Soif,25-Aug-24,2809
Netherlands,U.S.A.,Netherlands,102 runs,Utrecht,25-Aug-24,2808
Bulgaria,Malta,Malta,61 runs,Castel,25-Aug-24,2807
Cyprus,Czech Rep.,Czech Rep.,4 wickets,Port Soif,25-Aug-24,2806
Malaysia,Kuwait,Kuwait,18 runs,Kuala Lumpur,25-Aug-24,2805
Cyprus,Greece,Cyprus,8 wickets,Castel,24-Aug-24,2804
Bulgaria,Estonia,Estonia,7 wickets,Port Soif,24-Aug-24,2803
